"","Name","Brands","Discounted_Price","Original_Price","Ratings","Sponsorship"
"147","Regular Fit Cotton Blend Tshirt Half Sleeve Crew Neck Comfortable Casual Lightweight Premium Vortex Elemental Breeeze Tshirts for Men Pack of 1","DAMENSCH","699","1,499","4.5","Not Sponsered"
"148","IM21 Men's Super Combed Supima Cotton Solid Round Neck Half Sleeve T-Shirt","Jockey","365","999","No Rating","Not Sponsered"
"149","Men's Solid Cotton T Shirt | Round Neck | Half Sleeve | Plain | Combo Pack of 2-Regular Fit (Available in Plus Size)","Amazon Brand - Symbol","499","999","No Rating","Not Sponsered"
"150","Men's 3 Pack Dry Fit Athletic Muscle Tank Workout Gym Shirt","NELEUS","365","999","No Rating","Not Sponsered"
"151","Diverge Black Tipping Polo Collar Pure Cotton White T-Shirt | 100% Cotton | Contrast Metal Zipper | Pique Knit | Ideal for Casual Workdays & Lounging","KINGDOM OF WHITE","349","600","No Rating","Not Sponsered"
"152","Logo Printed Polo/Collar Tata Half Sleeve T-Shirt SBI Life Insurance Staff Employee Promotion for Men Women","I AM ROMPER","499","999","No Rating","Not Sponsered"
"153","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with Mathematics Quote Physics, Chemistry, Computer Science, Engineering (Medium, Dark Navy)","Qworld","499","1,999","No Rating","Not Sponsered"
"154","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve with GitHub Quote Physics, Chemistry, Computer Science, Engineering (Medium, Dark Navy)","Qworld","365","999","No Rating","Not Sponsered"
"155","Funny Spreadsheet T-Shirt, Relax I Have A Spreadsheet for That Tee, Office Humor Shirt, Accountant Gift, Casual Geek Tee Unisex","Seek Buy Love","499","1,000","No Rating","Sponsered"
"156","Science T-Shirt – 100% Cotton Round Neck Graphic Printed T-Shirts for Men & Women, Half Sleeve T-Shirt with Formula of Biology Quote Physics, Chemistry, Computer Science, Engineering Dark Navy","Qworld","449","699","4.1","Sponsered"
"157","Teach Love Inspire Graphic T-Shirt","Generic","499","999","5.0","Sponsered"
"158","Men's Regular Fit I Am Engineer Cotton Printed Round Neck Half Sleeves Black & White T Shirt. Trending, Trendy,Pootlu, College Tshirts","OPLU","1,049","1,999","3.9","Sponsered"
"159","While Alive Eat Sleep Code Half Sleeve 100% Cotton 180 GSM T-Shirt","DUDEME","499","899","No Rating","Not Sponsered"
"160","Breeeze Ultralight Basic Melange Half Sleeve T-Shirt","DAMENSCH","365","999","5.0","Not Sponsered"
"161","Men's Round Neck Cotton Half Sleeved T-Shirt with Printed Graphics - Math Teacher Have Problems","Caseria","499","899","4.7","Not Sponsered"
